timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678858902505,335,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109138,117,1,1,http://www.bing.com/,285,0,206
1678858902843,87,HTTP request,200,OK,Web endpoint test 1-1,text,true,,107922,117,1,1,http://www.bing.com/,54,0,0
1678858902930,86,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109143,117,1,1,http://www.bing.com/,51,0,0
1678858903017,78,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,1,1,http://www.bing.com/,48,0,0
1678858903096,79,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109426,117,1,1,http://www.bing.com/,49,0,0
1678858903176,85,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109147,117,1,1,http://www.bing.com/,46,0,0
1678858903262,80,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109412,117,1,1,http://www.bing.com/,56,0,0
1678858903343,93,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109422,117,1,1,http://www.bing.com/,57,0,0
1678858903436,98,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109144,117,1,1,http://www.bing.com/,51,0,0
1678858903534,120,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109422,117,1,1,http://www.bing.com/,63,0,0
1678858903655,81,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109139,117,1,1,http://www.bing.com/,45,0,0
1678858903737,75,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109143,117,1,1,http://www.bing.com/,46,0,0
1678858903812,115,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109143,117,1,1,http://www.bing.com/,61,0,0
1678858903928,80,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109426,117,1,1,http://www.bing.com/,48,0,0
1678858904009,117,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,1,1,http://www.bing.com/,60,0,0
1678858904127,87,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106864,117,1,1,http://www.bing.com/,50,0,0
1678858904215,99,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106693,117,1,1,http://www.bing.com/,48,0,0
1678858904315,100,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109428,117,2,2,http://www.bing.com/,55,0,0
1678858904335,151,HTTP request,200,OK,Web endpoint test 1-2,text,true,,107646,117,2,2,http://www.bing.com/,89,0,30
1678858904415,82,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110214,117,2,2,http://www.bing.com/,50,0,0
1678858904498,134,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,2,2,http://www.bing.com/,57,0,0
1678858904487,145,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109146,117,2,2,http://www.bing.com/,85,0,0
1678858904633,119,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109170,117,2,2,http://www.bing.com/,52,0,0
1678858904633,225,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109144,117,2,2,http://www.bing.com/,51,0,0
1678858904753,115,HTTP request,200,OK,Web endpoint test 1-2,text,true,,106867,117,2,2,http://www.bing.com/,57,0,0
1678858904859,106,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109144,117,2,2,http://www.bing.com/,53,0,0
1678858904869,98,HTTP request,200,OK,Web endpoint test 1-2,text,true,,106612,117,2,2,http://www.bing.com/,53,0,0
1678858904967,121,HTTP request,200,OK,Web endpoint test 1-2,text,true,,106402,117,2,2,http://www.bing.com/,55,0,0
1678858904966,123,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109144,117,2,2,http://www.bing.com/,63,0,0
1678858905089,117,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109456,117,2,2,http://www.bing.com/,47,0,0
1678858905089,119,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109426,117,2,2,http://www.bing.com/,56,0,0
1678858905207,111,HTTP request,200,OK,Web endpoint test 1-2,text,true,,106715,117,2,2,http://www.bing.com/,50,0,0
1678858905209,111,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109139,117,2,2,http://www.bing.com/,56,0,0
1678858905319,97,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109139,117,2,2,http://www.bing.com/,46,0,0
1678858905321,97,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,2,2,http://www.bing.com/,53,0,0
1678858905417,126,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109155,117,2,2,http://www.bing.com/,55,0,0
1678858905418,127,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109421,117,2,2,http://www.bing.com/,65,0,0
1678858905543,123,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110502,117,2,2,http://www.bing.com/,48,0,0
1678858905545,121,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106216,117,2,2,http://www.bing.com/,56,0,0
1678858905666,109,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109453,117,2,2,http://www.bing.com/,49,0,0
1678858905667,109,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110214,117,2,2,http://www.bing.com/,57,0,0
1678858905775,115,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110019,117,2,2,http://www.bing.com/,50,0,0
1678858905777,114,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106684,117,2,2,http://www.bing.com/,57,0,0
1678858905890,115,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109457,117,2,2,http://www.bing.com/,52,0,0
1678858905892,115,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106581,117,2,2,http://www.bing.com/,58,0,0
1678858906006,106,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109138,117,2,2,http://www.bing.com/,43,0,0
1678858906007,108,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109138,117,2,2,http://www.bing.com/,53,0,0
1678858906113,110,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109425,117,2,2,http://www.bing.com/,55,0,0
1678858906115,110,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109144,117,2,2,http://www.bing.com/,54,0,0
1678858906224,118,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109426,117,3,3,http://www.bing.com/,49,0,0
1678858906226,119,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109422,117,3,3,http://www.bing.com/,71,0,0
1678858906343,126,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109427,117,3,3,http://www.bing.com/,48,0,0
1678858906346,128,HTTP request,200,OK,Web endpoint test 1-1,text,true,,107763,117,3,3,http://www.bing.com/,58,0,0
1678858906333,142,HTTP request,200,OK,Web endpoint test 1-3,text,true,,106606,117,3,3,http://www.bing.com/,81,0,22
1678858906470,161,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109452,117,3,3,http://www.bing.com/,69,0,0
1678858906476,156,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109145,117,3,3,http://www.bing.com/,67,0,0
1678858906475,157,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109145,117,3,3,http://www.bing.com/,79,0,0
1678858906632,95,HTTP request,200,OK,Web endpoint test 1-3,text,true,,107458,117,3,3,http://www.bing.com/,45,0,0
1678858906631,103,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109438,117,3,3,http://www.bing.com/,55,0,0
1678858906632,102,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109146,117,3,3,http://www.bing.com/,54,0,0
1678858906727,74,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109426,117,3,3,http://www.bing.com/,46,0,0
1678858906735,84,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109147,117,3,3,http://www.bing.com/,45,0,0
1678858906735,89,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106864,117,3,3,http://www.bing.com/,45,0,0
1678858906802,104,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109424,117,3,3,http://www.bing.com/,58,0,0
1678858906820,95,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110213,117,3,3,http://www.bing.com/,48,0,0
1678858906825,95,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106844,117,3,3,http://www.bing.com/,57,0,0
1678858906907,125,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109169,117,3,3,http://www.bing.com/,51,0,0
1678858906916,120,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109456,117,3,3,http://www.bing.com/,50,0,0
1678858906921,116,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109427,117,3,3,http://www.bing.com/,61,0,0
1678858907033,121,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109231,117,3,3,http://www.bing.com/,55,0,0
1678858907036,123,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109421,117,3,3,http://www.bing.com/,53,0,0
1678858907038,122,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109423,117,3,3,http://www.bing.com/,65,0,0
1678858907161,130,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109160,117,3,3,http://www.bing.com/,49,0,0
1678858907155,139,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109428,117,3,3,http://www.bing.com/,66,0,0
1678858907160,134,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109422,117,3,3,http://www.bing.com/,57,0,0
1678858907292,96,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109431,117,3,3,http://www.bing.com/,44,0,0
1678858907295,97,HTTP request,200,OK,Web endpoint test 1-2,text,true,,106714,117,3,3,http://www.bing.com/,47,0,0
1678858907295,99,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109175,117,3,3,http://www.bing.com/,51,0,0
1678858907393,90,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109139,117,3,3,http://www.bing.com/,46,0,0
1678858907388,106,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110208,117,3,3,http://www.bing.com/,54,0,0
1678858907395,99,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109138,117,3,3,http://www.bing.com/,48,0,0
1678858907484,103,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109423,117,3,3,http://www.bing.com/,48,0,0
1678858907494,99,HTTP request,200,OK,Web endpoint test 1-1,text,true,,106440,117,3,3,http://www.bing.com/,51,0,0
1678858907495,102,HTTP request,200,OK,Web endpoint test 1-3,text,true,,110245,117,3,3,http://www.bing.com/,50,0,0
1678858907588,104,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109144,117,3,3,http://www.bing.com/,45,0,0
1678858907593,106,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109429,117,3,3,http://www.bing.com/,56,0,0
1678858907597,108,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109428,117,3,3,http://www.bing.com/,58,0,0
1678858907693,117,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109174,117,3,3,http://www.bing.com/,48,0,0
1678858907699,115,HTTP request,200,OK,Web endpoint test 1-1,text,true,,107653,117,3,3,http://www.bing.com/,49,0,0
1678858907705,110,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109443,117,3,3,http://www.bing.com/,56,0,0
1678858907811,120,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110208,117,3,3,http://www.bing.com/,46,0,0
1678858907816,119,HTTP request,200,OK,Web endpoint test 1-3,text,true,,110214,117,3,3,http://www.bing.com/,51,0,0
1678858907814,122,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109428,117,3,3,http://www.bing.com/,60,0,0
1678858907932,122,HTTP request,200,OK,Web endpoint test 1-2,text,true,,110498,117,3,3,http://www.bing.com/,46,0,0
1678858907936,121,HTTP request,200,OK,Web endpoint test 1-3,text,true,,106401,117,3,3,http://www.bing.com/,50,0,0
